	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627
	M. africanum1	M. africanum1	M. africanum1	M. africanum2	M. africanum2	M. africanum2	M. gallinarum	M. gallinarum	M. gallinarum	M. marinum	M. marinum	M. marinum	M. xenopi	M. xenopi	M. xenopi	M. szulgai	M. szulgai	M. szulgai	M. scrofulaceum	M. scrofulaceum	M. scrofulaceum	M. bovis	M. bovis	M. bovis	M. kansasii	M. kansasii	M. kansasii	M. avium	M. avium	M. avium	M. flavescence	M. flavescence	M. flavescence	BCG35740	BCG35740	BCG35740	M. rhodesiae	M. rhodesiae	M. rhodesiae	M. phlei	M. phlei	M. phlei	M. chelonae	M. chelonae	M. chelonae	M. brandae	M. brandae	M. brandae	11152	11152	11152	M. lacus	M. lacus	M. lacus	M. simiae	M. simiae	M. simiae	M. africanum3	M. africanum3	M. microti	M. microti	M. microti	M. fortuitum	M. fortuitum	M. fortuitum	10460	10460	10460	15987	15987	15987	NTC	NTC	NTC
Temperature (¡C)	M. africanum	M. africanum	M. africanum	M. africanum	M. africanum	M. africanum	M. gallinarum	M. gallinarum	M. gallinarum	M. marinum	M. marinum	M. marinum	M. xenopi	M. xenopi	M. xenopi	M. szulgai	M. szulgai	M. szulgai	M. scrofulaceum	M. scrofulaceum	M. scrofulaceum	M. bovis	M. bovis	M. bovis	M. kansasii	M. kansasii	M. kansasii	M. avium	M. avium	M. avium	M. flavescence	M. flavescence	M. flavescence	M. bovis	M. bovis	M. bovis	M. rhodesiae	M. rhodesiae	M. rhodesiae	M. phlei	M. phlei	M. phlei	M. chelonae	M. chelonae	M. chelonae	M. brandae	M. brandae	M. brandae	M. microti	M. microti	M. microti	M. lacus	M. lacus	M. lacus	M. simiae	M. simiae	M. simiae	M. africanum	M. africanum	M. microti	M. microti	M. microti	M. fortuitum	M. fortuitum	M. fortuitum	M. tuberculosis	M. tuberculosis	M. tuberculosis	M. tuberculosis	M. tuberculosis	M. tuberculosis	NTC	NTC	NTC
32.1	3795.88889	3972.88889	3963.11111	4019	3967.44444	4152	4060.55556	4565.22222	4870.22222	3802.11111	3987	4022.77778	4620.22222	4611.66667	4656.88889	4709.77778	4428.55556	4520.55556	3788.55556	3932.22222	4059.66667	4445.44444	4640.66667	4533	3968.77778	3965.11111	3964	3541.55556	3735.11111	3454.33333	4724.33333	4647.66667	4912.55556	4268.33333	4124.44444	4322.77778	3770.11111	3807.77778	4017.55556	4606.77778	4507.33333	4584.66667	4316.11111	4694.55556	4503.55556	4022.77778	3614.22222	4144	3824.88889	3906.22222	3746.55556	3823.33333	3914.11111	3959.77778	3798.88889	4029.55556	4055.22222	3957.55556	3927.33333	3912.77778	3884.22222	4106.66667	4929	4922.44444	4975	3665.11111	3538.77778	3877.55556	4017.66667	4125.33333	4020	4068.88889	4311.77778	4543.88889
33.1	3846.33333	4026	4017.44444	4079.55556	4026.22222	4214.77778	4103.88889	4632.66667	4942.22222	3850.22222	4049.22222	4083.66667	4680	4673.22222	4716.22222	4775.55556	4485.55556	4580.44444	3831.11111	3980.66667	4111.33333	4508.88889	4714.44444	4601.22222	4012	4008.66667	4010.55556	3595.88889	3789.88889	3521	4791.11111	4714.88889	4989.11111	4331.44444	4180.55556	4385.44444	3828	3864.22222	4079.66667	4683.88889	4574.77778	4664.66667	4371.44444	4754.88889	4564.88889	4074.77778	3687.44444	4199.66667	3874.44444	3956.77778	3799.11111	3882.88889	3982.44444	4019.88889	3839.77778	4076.88889	4097.11111	4005.77778	3976.88889	3969.22222	3938.55556	4167.88889	5001.11111	4991.66667	5046.33333	3712.55556	3579.55556	3922.88889	4070.66667	4175.44444	4067.22222	4126.55556	4395.55556	4628.33333
34.1	3899.33333	4084.33333	4074	4142.44444	4086.44444	4275.77778	4154.33333	4702.11111	5018.33333	3903.55556	4117	4149	4738	4735.11111	4774.77778	4841.66667	4548.55556	4641.55556	3872.11111	4030.88889	4159.44444	4580.44444	4786.77778	4668.44444	4055.11111	4053.88889	4061.66667	3655.55556	3849.11111	3588.66667	4863.88889	4785.77778	5068.88889	4399	4246.33333	4450.55556	3889.44444	3930	4142.66667	4766	4655.77778	4747.66667	4432.55556	4819.66667	4628.88889	4132.11111	3761.55556	4258.55556	3923.88889	4011.44444	3846.66667	3957.11111	4059.66667	4094.44444	3882.55556	4126	4145.33333	4058.33333	4030.44444	4022.11111	3991	4228.55556	5079.22222	5069.66667	5120.33333	3761	3623.88889	3974.11111	4122.11111	4224.11111	4116.22222	4191.33333	4475.33333	4716.66667
35.03333	3946.44444	4136	4124.33333	4201.33333	4139.88889	4339.55556	4201.33333	4776.44444	5091	3948.22222	4177.88889	4212.66667	4794.66667	4803.66667	4836.11111	4904.55556	4606	4698.66667	3909.33333	4074.88889	4206.55556	4653.11111	4863.11111	4734.88889	4093.88889	4096.77778	4104.22222	3712	3902.88889	3662	4933.22222	4858.55556	5147.11111	4465.88889	4303.55556	4511.22222	3947.33333	3992.55556	4206.33333	4847.33333	4727.77778	4824.44444	4486.55556	4883	4692.44444	4190.44444	3837.77778	4319.55556	3972.44444	4059.77778	3891.77778	4039	4153.88889	4185.44444	3921.22222	4172	4189.22222	4104.22222	4080.77778	4076.88889	4040.55556	4282.33333	5149.11111	5142	5199.55556	3804.66667	3663.88889	4018.33333	4169	4273.88889	4162.66667	4258.55556	4555.55556	4802.77778
36.03333	3991.55556	4185.77778	4175	4254.22222	4191.22222	4395.77778	4249.22222	4850.11111	5163.77778	3997.55556	4238.77778	4276.55556	4849.66667	4866.55556	4895.55556	4967.22222	4658.66667	4748.77778	3946.55556	4115.33333	4252.44444	4724.11111	4929.66667	4800.66667	4132.88889	4136.55556	4145.44444	3771.55556	3958.44444	3733	5004.22222	4928.55556	5224.22222	4529	4367.11111	4570.22222	4007.77778	4056.44444	4270.88889	4931.33333	4805.55556	4903.44444	4544.66667	4945.11111	4755.22222	4254.77778	3919.11111	4380.55556	4015.77778	4102.33333	3932.33333	4136.66667	4261.66667	4290.77778	3960.66667	4221	4234.22222	4149.88889	4127	4125.22222	4084.88889	4331.22222	5219.66667	5212.66667	5272.11111	3845.55556	3700.33333	4062.11111	4212.88889	4321.33333	4204.22222	4327.88889	4637.44444	4890.66667
37	4033.33333	4232.11111	4219.22222	4306.55556	4244.44444	4448	4295.66667	4921.55556	5234.44444	4043.88889	4297.44444	4333.66667	4906.11111	4924	4950.11111	5029.66667	4712.44444	4804.11111	3985.33333	4150.66667	4294.44444	4782.66667	4995.44444	4865	4171.88889	4171.55556	4182.55556	3830.11111	4014.44444	3802.77778	5075.11111	5003.55556	5306.33333	4591.22222	4421.88889	4630.11111	4069.22222	4115.11111	4334.66667	5016.66667	4873.88889	4979.22222	4601.66667	5003.88889	4815.66667	4321.33333	3998.66667	4456.66667	4056.44444	4146.33333	3973.44444	4242.77778	4381.11111	4405.77778	3997.33333	4265.22222	4281.33333	4190	4171.55556	4175.66667	4126.55556	4375	5287.11111	5283.55556	5352.33333	3887.88889	3735.22222	4100.66667	4250.11111	4365.88889	4241	4394	4722.55556	4976.11111
38	4077.33333	4273.77778	4267.22222	4355.77778	4300.55556	4501.44444	4345.77778	4992.88889	5311	4091.44444	4359.88889	4392.11111	4958.33333	4977.22222	5003.77778	5087.88889	4761.77778	4858.11111	4021.22222	4188.66667	4332.88889	4841.44444	5053.55556	4925.11111	4208.77778	4207.22222	4223.66667	3891.55556	4073.77778	3871.88889	5149.33333	5076.22222	5390.77778	4644.88889	4479	4686.33333	4131.55556	4180.66667	4399.33333	5101.33333	4947.88889	5062	4663.77778	5062.22222	4880.22222	4405.44444	4077.33333	4551.11111	4094	4190.22222	4017.66667	4366.88889	4516	4532.66667	4034.55556	4312.33333	4324.77778	4230.22222	4215.77778	4219.44444	4170.11111	4424	5357.11111	5349.11111	5423.55556	3928.11111	3771.55556	4144.22222	4293.66667	4406.55556	4281.55556	4462.11111	4807.33333	5057.22222
39	4120.77778	4321.55556	4314.66667	4415.88889	4357	4559	4398	5066	5386.33333	4139.22222	4423.33333	4455.55556	5012	5033.77778	5058.11111	5143.55556	4821.44444	4915.66667	4056.33333	4229.55556	4372.11111	4890.88889	5104.55556	4968.22222	4246	4243.44444	4264.88889	3956.88889	4135.44444	3945.44444	5230.11111	5155.44444	5477	4693.77778	4521.88889	4739.77778	4195.11111	4247.88889	4469.11111	5188.33333	5020.33333	5143.66667	4725.66667	5126.77778	4948.11111	4509.11111	4154.44444	4672.66667	4138.33333	4235.66667	4061.66667	4493.66667	4649.88889	4662.44444	4074.11111	4359.44444	4372.11111	4269.77778	4261	4266.77778	4217.11111	4474.22222	5422.55556	5416	5495.22222	3968.77778	3810.33333	4185.33333	4335.11111	4453.77778	4325	4532.44444	4892	5133.66667
39.93333	4165.88889	4370.11111	4366.22222	4470.77778	4410.88889	4619.33333	4446.77778	5137.44444	5465.33333	4190.11111	4491.55556	4519.55556	5070.55556	5089.66667	5115.66667	5201.88889	4875.88889	4965.77778	4088.77778	4268.66667	4414.66667	4932.66667	5139.22222	4997.11111	4284.44444	4282	4311.11111	4019.22222	4193.77778	4017	5310.77778	5227.44444	5556.22222	4729	4561.44444	4776.33333	4257	4315.44444	4539.77778	5275.33333	5098.66667	5226.11111	4789	5191.55556	5019.77778	4635.11111	4235	4812.11111	4183.55556	4281.55556	4106.33333	4608.88889	4784.66667	4782.44444	4112.22222	4409.88889	4416.77778	4316.66667	4309.11111	4316.33333	4266.66667	4526.88889	5487.77778	5477.11111	5562	4011.88889	3851.11111	4230.22222	4382.44444	4504.33333	4370	4601.44444	4975.88889	5210.11111
40.8	4213.11111	4428.77778	4418.77778	4530	4467.44444	4680.22222	4492.44444	5213.55556	5541.33333	4240.88889	4555.88889	4582.88889	5128.55556	5151.44444	5173.44444	5261	4937.33333	5019.88889	4127.44444	4307.33333	4459.33333	4952.77778	5158.22222	5008.55556	4324.55556	4325.33333	4357.44444	4080	4250.88889	4086.88889	5384.44444	5301.44444	5636.55556	4758.22222	4584.55556	4801.55556	4326.11111	4383.22222	4611.33333	5359.44444	5177.33333	5306.33333	4851.88889	5259	5085	4774	4309.66667	4963.22222	4231.88889	4330.66667	4148.33333	4713.55556	4897.44444	4895.88889	4154.44444	4459.55556	4464.55556	4368	4361.22222	4366.44444	4321.22222	4585.22222	5552.77778	5544.44444	5625.77778	4063.77778	3896.11111	4279.88889	4436.55556	4563.33333	4421.22222	4668.44444	5054.33333	5283.44444
